state,total_sales
california,446306.49
"new york",315290.44
texas,168572.47
washington,135206.87
pennsylvania,116276.76
florida,88436.55
illinois,79236.57
michigan,76136.07
ohio,75130.43
virginia,70636.72
"north carolina",55165.89
indiana,48718.40
georgia,48219.11
kentucky,36458.39
arizona,35272.68
"new jersey",34610.98
colorado,31841.60
wisconsin,31173.43
tennessee,30661.92
minnesota,29863.15
massachusetts,28634.44
delaware,27323.00
maryland,23705.52
"rhode island",22525.03
missouri,22205.15
oklahoma,19683.39
alabama,19510.64
oregon,17284.45
nevada,16729.10
connecticut,13384.36
arkansas,11678.13
utah,11220.06
mississippi,10771.34
louisiana,9131.05
"south carolina",8481.71
nebraska,7464.93
"new hampshire",7292.52
montana,5589.35
"new mexico",4783.54
iowa,4443.56
idaho,4382.49
kansas,2914.31
"district of columbia",2865.02
wyoming,1603.14
"south dakota",1315.56
maine,1270.53
"west virginia",1209.82
"north dakota",919.91
